Year,Grade Level,Gender,Poverty Level,Test,Units,Value
2021,3rd,,,M-STEP,English Language Arts,24.3
2021,4th,,,M-STEP,English Language Arts,21.9
2021,5th,,,M-STEP,English Language Arts,26.5
2021,6th,,,M-STEP,English Language Arts,29.5
2021,7th,,,M-STEP,English Language Arts,34.6
2021,8th,,,M-STEP,English Language Arts,40.4
2021,,,,M-STEP,Math,24.3
2021,3rd,,,M-STEP,Math,26.5
2021,4th,,,M-STEP,Math,22.1
2021,5th,,,M-STEP,Math,13.9
2021,6th,,,M-STEP,Math,19.6
2021,7th,,,M-STEP,Math,22.3
2021,8th,,,M-STEP,Math,44.6
2021,8th,,,PSAT,English Language Arts,40.4
2021,8th,Female,,PSAT,English Language Arts,46.6
2021,8th,Male,,PSAT,English Language Arts,34.3
2021,8th,,Economically Disadvantaged,PSAT,English Language Arts,38.4
2021,8th,,Not Economically Disadvantaged,PSAT,English Language Arts,53.1
2021,8th,,,PSAT,Math,44.9
2021,8th,Female,,PSAT,Math,45.8
2021,8th,Male,,PSAT,Math,44.0
2021,8th,,Economically Disadvantaged,PSAT,Math,43.3
2021,8th,,Not Economically Disadvantaged,PSAT,Math,54.7
2022,,,,M-STEP,English Language Arts,29.9
2022,3rd,,,M-STEP,English Language Arts,27.5
2022,4th,,,M-STEP,English Language Arts,29.4
2022,5th,,,M-STEP,English Language Arts,26.2
2022,6th,,,M-STEP,English Language Arts,32.5
2022,7th,,,M-STEP,English Language Arts,37.5
2022,8th,,,M-STEP,English Language Arts,41.1
2022,,,,M-STEP,Math,29.1
2022,3rd,,,M-STEP,Math,32.2
2022,4th,,,M-STEP,Math,33.6
2022,5th,,,M-STEP,Math,13.6
2022,6th,,,M-STEP,Math,25.9
2022,7th,,,M-STEP,Math,23.3
2022,8th,,,M-STEP,Math,41.9
2022,8th,,,PSAT,English Language Arts,41.1
2022,8th,Female,,PSAT,English Language Arts,48.1
2022,8th,Male,,PSAT,English Language Arts,34.1
2022,8th,,Economically Disadvantaged,PSAT,English Language Arts,40.0
2022,8th,,Not Economically Disadvantaged,PSAT,English Language Arts,49.0
2022,8th,,,PSAT,Math,41.9
2022,8th,Female,,PSAT,Math,44.1
2022,8th,Male,,PSAT,Math,39.8
2022,8th,,Economically Disadvantaged,PSAT,Math,40.9
2022,8th,,Not Economically Disadvantaged,PSAT,Math,49.2
2023,8th,,,PSAT,English Language Arts,47.6
2023,8th,Female,,PSAT,English Language Arts,50.4
2023,8th,Male,,PSAT,English Language Arts,44.8
2023,8th,,Economically Disadvantaged,PSAT,English Language Arts,46.7
2023,8th,,Not Economically Disadvantaged,PSAT,English Language Arts,54.0
2023,8th,,,PSAT,Math,33.4
2023,8th,Female,,PSAT,Math,33.4
2023,8th,Male,,PSAT,Math,33.3
2023,8th,,Economically Disadvantaged,PSAT,Math,32.3
2023,8th,,Not Economically Disadvantaged,PSAT,Math,41.4
2023,,,,M-STEP,English Language Arts,34.0
